LowerLetter,UpperLetter,y,x,LetterFrequency
a,A,157.5,77.5,8.12
b,B,265.5,477.5,1.49
c,C,265.5,317.5,2.71
d,D,157.5,237.5,4.32
e,E,49.5,198.5,12.02
f,F,157.5,317.5,2.3
g,G,157.5,397.5,2.03
h,H,157.5,477.5,5.92
i,I,49.5,598.5,7.31
j,J,157.5,557.5,0.1
k,K,157.5,637.5,0.69
l,L,157.5,717.5,3.98
m,M,265.5,637.5,2.61
n,N,265.5,557.5,6.95
o,O,49.5,678.5,7.68
p,P,49.5,758.5,1.82
q,Q,49.5,38.5,0.11
r,R,49.5,278.5,6.02
s,S,157.5,157.5,6.28
t,T,49.5,358.5,9.1
u,U,49.5,518.5,2.88
v,V,265.5,397.5,1.11
w,W,49.5,118.5,2.09
x,X,265.5,237.5,0.17
y,Y,49.5,438.5,2.11
z,Z,265.5,157.5,0.07
